,fi,en,,,NOTES – use \n for newline,max length
ENTIRELY NEW TEXT AFTER THIS LINE,#VALUE!,,,,,
biome_tower,Torni,Tower,,,,
biome_vault_frozen,jäädytetyt holvissa,Frozen vault,,,,
biome_clouds,cloudscape,Cloudscape,,,,
biome_liquidcave,antiikin laboratorio,Ancient laboratory,,,,
biome_secret_lab,Hylätty Alchemy lab,Abandoned alchemy lab,,,,
biome_weathercrystal,Crystal jaosto,Crystal Chamber,,,,
mat_ice_poison_static,jäädytetyt myrkkyä,Frozen poison,,,,
mat_ice_poison_glass,jäädytetyt myrkkyä,Frozen poison,,,,
mat_ice_slime_static,jäädytetyt lima,Frozen slime,,,,
mat_ice_slime_glass,jäädytetyt lima,Frozen slime,,,,
mat_ice_blood_glass,jäädytetty veri,Frozen blood,,,,
mat_void_liquid,void neste,Void liquid,,,,
mat_fungi_creeping,Mystery sieni,Mystery fungus,,,,
mat_purifying_powder,puhdistava jauhe,Purifying powder,,,,
mat_magic_crystal,maaginen kristalli,Magical crystal,,,,
mat_rock_static_cursed,Cursed kallio,Cursed rock,,,,
mat_steelfrost_static,jäädytetyt terästä,Frozen steel,,,,
mat_slush,loska,Slush,,,,
mat_poison,Myrkyttää,Poison,,,,
mat_alcohol_gas,viski höyryjä,Whiskey fumes,,,,
mat_vomit,Oksentaa,Vomit,,,,
mat_blood_fungi,sieni verta,fungus blood,,,,
mat_glowshroom,hehkuva sieni-itiöiden,glowing fungal spore,,,,
mat_fungi_trippy,outo sieni,weird fungus,,,,
mat_sima,sima,Sima,,,,
mat_glass_liquidcave,Karkaistu lasi,Tempered glass,,,,
mat_templebrick_static_ruined,Pilalla tiiliseinä,Ruined brick wall,,,,
mat_templebrick_brittle,hauras tiilestä,Brittle brickwork,,,,
mat_rock_brittle,hauras kallio,Brittle rock,,,,
mat_antidote,vastamyrkky,Antidote,,,,
mat_confusion,flummoxium,flummoxium,,,,
mat_magic_liquid_movement_faster,acceleratium,acceleratium,,,,
mat_magic_liquid_worm_attractor,mato feromoni,worm pheromone,,,,
mat_magic_liquid_protection_all,ambrosia,ambrosia,,,,
mat_magic_liquid_mana_regeneration,väkevää mana,concentrated mana,,,,
mat_meat_helpless,Liha viattoman olennon,Meat of an innocent creature,,,,
mat_meat_trippy,outo liha,Weird meat,,,,
mat_meat_cursed,Cursed liha,Cursed meat,,,,
mat_meat_slime_cursed,Limainen kirottu liha,Slimy cursed meat,,,,
mat_meat_teleport,eteerinen liha,Ethereal meat,,,,
mat_meat_polymorph,epävakaa liha,Unstable meat,,,,
mat_meat_confusion,epäselvä liha,Ambiguous meat,,,,
mat_bloodgold_box2d,Rubiini,Ruby,,,,
mat_magic_liquid_faster_levitation,levitatium,levitatium,,,,
mat_magic_liquid_faster_levitation_and_movement,hastium,hastium,,,,
mat_magic_gas_hp_regeneration,Healium,Healium,,,,
mat_meat_polymorph_protection,haisevia liha,Stinky meat,,,,
animal_slimeshooter_weak,heikko Limanuljaska,Heikko limanuljaska,,,,
animal_wraith,Hyypiö,Hyypiö,,,,
animal_wraith_glowing,hohtava Hyypiö,Hohtava hyypiö,,,,
animal_necromancer_shop,Stevari,Stevari,,,,
animal_mine,Maamiina,Maamiina,,,,
animal_fungus_big,Itiösieni,Itiösieni,,,,
animal_lurker,Varjokupla,Varjokupla,,,,
animal_scavenger_invis,Häivehiisi,Häivehiisi,,,,
animal_scavenger_shield,Kilpihiisi,Kilpihiisi,,,,
animal_frog_big,Jättikonna,Jättikonna,,,,
animal_tank_super,Laser-Tankki,Laser-tankki,,,,
animal_plague_rats_rat,Ruttorotta,Ruttorotta,,,,
animal_giantshooter_weak,heikko äitinuljaska,Heikko äitinuljaska,,,,
animal_acidshooter_weak,heikko happonuljaska,Heikko happonuljaska,,,,
animal_wraith_storm,Ukkoshyypiö,Ukkoshyypiö,,,,
animal_skycrystal_physics,Taivaskristalli,Taivaskristalli,,,,
animal_slimeshooter_nontoxic,Limanuljaska,Limanuljaska,,,,
animal_turret_right,Torjuntalaite,Torjuntalaite,,,,
animal_turret_left,Torjuntalaite,Torjuntalaite,,,,
animal_necromancer,Hahmonvaihtaja,Hahmonvaihtaja,,,,
animal_lukki_tiny,Pikkuhämähäkki,Pikkuhämähäkki,,,,
animal_spearbot,Peitsivartija,Peitsivartija,,,,
animal_ultimate_killer,Kauhuhirviö,Kauhuhirviö,,,,
animal_goblin_bomb,Sähikäismenninkäinen,Sähikäismenninkäinen,,,,
animal_pebble_physics,Lohkare,Lohkare,,,,
animal_chest_leggy,Jalkamatkatavara,Jalkamatkatavara,,,,
animal_boss_centipede,Kolmisilmä,Kolmisilmä,,,,
animal_failed_alchemist,Kadotettu alkemisti,Kadotettu alkemisti,,,,
animal_failed_alchemist_b,Epäalkemisti,Epäalkemisti,,,,
animal_enlightened_alchemist,Valaistunut alkemisti,Valaistunut alkemisti,,,,
animal_lasergun,Laserkanuuna,Laserkanuuna,,,,
animal_monk,Munkki,Munkki,,,,
animal_statue,patsas,Patsas,,,,
animal_boss_alchemist,Ylialkemisti,Ylialkemisti,,,,
animal_wizard_returner,Palauttajamestari,Palauttajamestari,,,,
animal_wizard_swapper,Vaihdosmestari,Vaihdosmestari,,,,
animal_drone_lasership,Jättilaser-lennokki,Jättilaser-lennokki,,,,
animal_shaman,Märkiäinen,Märkiäinen,,,,
actiondesc_cloud_acid,Luo sade happo,Creates a rain of acid,,,,
actiondesc_damage_x2,Loitsuja valettu rinnalla oikeinkirjoituksen käsitellä kaksinkertainen vahinko,Spells cast alongside this spell deal double damage,,,,
actiondesc_damage_x5,Loitsuja valettu rinnalla oikeinkirjoituksen käsitellä Quintuple vahinkoja,Spells cast alongside this spell deal quintuple damage,,,,
actiondesc_unstable_gunpowder,Tekee ammuksen julkaisu sähinkäiset kun se katoaa,Makes a projectile release firecrackers when it disappears,,,,
actiondesc_slow_bullet_timer,"Hidas mutta tehokas taivaankappale energiaa, joka heittää toinen loitsu jälkeen aika loppuu",A slow but powerful orb of energy that casts another spell after a timer runs out,,,,
actiondesc_bouncy_orb_timer,"Nopea, kipinöintiä ammuksen että heittää toinen loitsu jälkeen aika loppuu","A fast, arcing projectile that casts another spell after a timer runs out",,,,
actiondesc_heal_bullet,"Maaginen pultti, joka parantaa muiden olentojen",A magical bolt that heals other beings,,,,
action_explosive_projectile,räjähtävä ammus,Explosive projectile,,,,
action_explosion,Räjähdys,Explosion,,,,
actiondesc_arc_electric,Luo kaaret salama välillä ammusten (vaatii 2 ammuksen jaksoja),Creates arcs of lightning between projectiles (requires 2 projectile spells),,,,
actiondesc_arc_fire,Luo kaaret tulen välissä ammuksia (vaatii 2 ammuksen loitsuja),Creates arcs of fire between projectiles (requires 2 projectile spells),,,,
actiondesc_arc_gunpowder,Luo kaaret ruudin välillä ammusten (vaatii 2 ammuksen jaksoja),Creates arcs of gunpowder between projectiles (requires 2 projectile spells),,,,
actiondesc_arc_poison,Luo kaaret myrkkyä välillä ammusten (vaatii 2 ammuksen jaksoja),Creates arcs of poison between projectiles (requires 2 projectile spells),,,,
action_death_cross_big,Giga kuolema cross,Giga death cross,,,,
actiondesc_death_cross_big,"Jättiläinen, tappava energia ylittää kyseinen räjähtää lyhyen ajan jälkeen","A giant, deadly energy cross that explodes after a short time",,,,
action_area_damage,vahinko kenttä,Damage field,,,,
actiondesc_area_damage,"Antaa ammuksen energiakenttä, joka jatkuvasti käsittelee 3,5 vahinkoa lähistöllä olentoja",Gives a projectile an energy field that constantly deals 3.5 damage to nearby creatures,,,,
action_summon_rock,Rock,Rock,,,,
actiondesc_summon_rock,Luo mahtava kallio tyhjästä,Create a mighty rock out of thin air,,,,
action_summon_egg,Summon muna,Summon egg,,,,
actiondesc_summon_egg,Haaste muna että taloa ystävällinen olento,Summons an egg that houses a friendly creature,,,,
action_spitter_tier_2,Suuri spitter pultti,Large spitter bolt,,,,
actiondesc_spitter_tier_2,Tehokkaampi versio Spitter Bolt,A more powerful version of Spitter Bolt,,,,
action_spitter_tier_2_timer,Suuri spitter pultti ajastimella,Large spitter bolt with timer,,,,
actiondesc_spitter_tier_2_timer,Tehokkaampi versio Spitter Bolt joka heittää toinen loitsu jälkeen aika loppuu,A more powerful version of Spitter Bolt that casts another spell after a timer runs out,,,,
action_spitter_tier_3,Giant spitter pultti,Giant spitter bolt,,,,
actiondesc_spitter_tier_3,Tehokkain versio Spitter Bolt,The most powerful version of Spitter Bolt,,,,
action_spitter_tier_3_timer,Giant spitter pultti ajastimella,Giant spitter bolt with timer,,,,
actiondesc_spitter_tier_3_timer,Tehokkain versio Spitter Bolt joka heittää toinen loitsu jälkeen aika loppuu,The most powerful version of Spitter Bolt that casts another spell after a timer runs out,,,,
action_transmutation,kaoottinen transmutaatio,Chaotic transmutation,,,,
actiondesc_transmutation,Transmutes erilaisten nesteiden ja jauhemaisten aineiden ammuksen valikoima joksikin muuksi,Transmutes various liquids and powdery substances within a projectile's range into something else,,,,
action_toxic_to_acid,Myrkyllinen liete happo,Toxic sludge to acid,,,,
actiondesc_toxic_to_acid,Tekee myrkyllisiä lietteen sisällä ammuksen välillä kääntyvän acid,Makes any toxic sludge within a projectile's range turn into acid,,,,
action_summon_wandghost,Summon Taikasauva,Summon Taikasauva,,,,
actiondesc_summon_wandghost,Haaste riivatun sauva tukea sinua,Summons a possessed wand to aid you,,,,
action_touch_gold,Touch of Gold,Touch of Gold,,,,
actiondesc_touch_gold,"Transmutes kaiken lyhyessä säteellä kullaksi, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into gold, including walls, creatures... and you",,,,
action_touch_water,Touch of Water,Touch of Water,,,,
actiondesc_touch_water,"Transmutes kaiken lyhyessä säteellä veteen, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into water, including walls, creatures... and you",,,,
action_touch_oil,Touch of Oil,Touch of Oil,,,,
actiondesc_touch_oil,"Transmutes kaiken lyhyessä säde öljyä, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into oil, including walls, creatures... and you",,,,
action_touch_alcohol,Touch of Spirits,Touch of Spirits,,,,
actiondesc_touch_alcohol,"Transmutes kaiken lyhyessä säteellä alkoholiksi, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into alcohol, including walls, creatures... and you",,,,
action_touch_blood,Touch of Blood,Touch of Blood,,,,
actiondesc_touch_blood,"Transmutes kaiken lyhyessä säteellä vereen, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into blood, including walls, creatures... and you",,,,
action_touch_smoke,Touch of Smoke,Touch of Smoke,,,,
actiondesc_touch_smoke,"Transmutes kaiken lyhyessä säde savua, kuten seinät, olentoja ... ja sinä","Transmutes everything in a short radius into smoke, including walls, creatures... and you",,,,
action_destruction,tuho,Destruction,,,,
actiondesc_destruction,"Hetkessä desimoi vihollisia ympärilläsi, hinnalla maksimisykkeestä HP","Instantly decimates foes around you, at the cost of your maximum HP",,,,
action_projectile_transmutation_field,Ammuksen transmutaatio kenttä,Projectile transmutation field,,,,
actiondesc_projectile_transmutation_field,Ammukset pyydettyä kentän muuntua vaarattomaksi otuksiin,Projectiles caught within the field transform into harmless critters,,,,
action_chaotic_arc,kaoottinen polku,Chaotic path,,,,
actiondesc_chaotic_arc,Aiheuttaa ammuksen kaaosmaisesti lentää minne se haluaa,Causes a projectile to chaotically fly wherever it wishes,,,,
action_projectile_thunder_field,Ammus ukkonen kenttä,Projectile thunder field,,,,
actiondesc_projectile_thunder_field,Ammukset pyydettyä kentän muuntua räjäytykset salamaniskun,Projectiles caught within the field transform into blasts of lightning,,,,
action_projectile_gravity_field,Ammuksen painovoimakentän,Projectile gravity field,,,,
actiondesc_projectile_gravity_field,Ammukset pyydettyä alalla ovat houkutelleet kohti keskustaa,Projectiles caught within the field are attracted towards its center,,,,
action_fly_downwards,Fly alaspäin,Fly downwards,,,,
actiondesc_fly_downwards,Aiheuttaa ammuksen tähdätä suorassa alaspäin vähän aikaa sen jälkeen valun,Causes a projectile to aim straight downwards a short time after casting,,,,
action_fly_upwards,Fly ylöspäin,Fly upwards,,,,
actiondesc_fly_upwards,Aiheuttaa ammuksen tähdätä suoraan ylöspäin vähän aikaa sen jälkeen valun,Causes a projectile to aim straight upwards a short time after casting,,,,
action_horizontal_arc,vaakasuoraa rataa,Horizontal path,,,,
actiondesc_horizontal_arc,"Pakottaa ammus vaakasuorassa tiellä, mutta lisää sen vahinko","Forces a projectile on a horizontal path, but increases its damage",,,,
action_luminous_drill,valoisa pora,Luminous drill,,,,
actiondesc_luminous_drill,"Tuotu esiin, lyhyen vaihteli säteen keskitetty valo","A pinpointed, short-ranged beam of concentrated light",,,,
action_luminous_drill_timer,Valoisa pora ajastimella,Luminous drill with timer,,,,
actiondesc_luminous_drill_timer,"Tuotu esiin, lyhyen vaihteli säteen keskitetty valo, joka heittää toinen oikeinkirjoituksen jälkeen ajastin loppuu","A pinpointed, short-ranged beam of concentrated light that casts another spell after a timer runs out",,,,
action_hitfx_explosion_slime,Räjähdysvaara limainen vihollisia,Explosion on slimy enemies,,,,
actiondesc_hitfx_explosion_slime,Tekee ammus räjähtää törmätessään olentoja peitossa liman,Makes a projectile explode upon collision with creatures covered in slime,,,,
action_hitfx_explosion_slime_giga,Giant räjähdysvaara limainen vihollisia,Giant explosion on slimy enemies,,,,
actiondesc_hitfx_explosion_slime_giga,Tekee ammus räjähtää voimakkaasti törmätessään olentoja peitossa liman,Makes a projectile explode powerfully upon collision with creatures covered in slime,,,,
action_hitfx_explosion_alcohol,Räjähdysvaara humalassa vihollisia,Explosion on drunk enemies,,,,
actiondesc_hitfx_explosion_alcohol,Tekee ammus räjähtää törmätessään olentoja katettu alkoholissa,Makes a projectile explode upon collision with creatures covered in alcohol,,,,
action_hitfx_explosion_alcohol_giga,Giant räjähdysvaara humalassa vihollisia,Giant explosion on drunk enemies,,,,
actiondesc_hitfx_explosion_alcohol_giga,Tekee ammus räjähtää voimakkaasti törmätessään olentoja katettu alkoholissa,Makes a projectile explode powerfully upon collision with creatures covered in alcohol,,,,
action_fireball_ray_enemy,Henkilökohtainen tulipallo heittäjä,Personal fireball thrower,,,,
actiondesc_fireball_ray_enemy,Tekee ammuksen kääntää olentoja se osuu elävään tulipallo heittimet,Makes a projectile turn the creatures it hits into living fireball throwers,,,,
action_lightning_ray,Lightning heittäjä,Lightning thrower,,,,
actiondesc_lightning_ray,Tekee ammuksen valettu salama satunnaisiin suuntiin,Makes a projectile cast lightning in random directions,,,,
action_lightning_ray_enemy,Henkilökohtainen salama pyörän,Personal lightning caster,,,,
actiondesc_lightning_ray_enemy,Tekee ammuksen kääntää olentoja se osuu elävään ukkosta,Makes a projectile turn the creatures it hits into living thunderstorms,,,,
action_tentacle_ray,Tentacler,Tentacler,,,,
actiondesc_tentacle_ray,Tekee ammuksen valettu lonkerot satunnaisiin suuntiin,Makes a projectile cast tentacles in random directions,,,,
action_tentacle_ray_enemy,Henkilökohtainen tentacler,Personal tentacler,,,,
actiondesc_tentacle_ray_enemy,Tekee olentoja osui ammus kasvaa lonkerot hallitsemattomasti,Makes creatures hit by a projectile grow tentacles in a chaotic manner,,,,
action_hitfx_toxic_charm,Charmikasta myrkyllisiä lietettä,Charm on toxic sludge,,,,
actiondesc_hitfx_toxic_charm,Tekee ammuksen viehätys olioita käsitellään myrkyllistä lietettä,Makes a projectile charm creatures covered in toxic sludge,,,,
action_tentacle_portal,Eldritch portaali,Eldritch portal,,,,
actiondesc_tentacle_portal,Haaste yksisuuntainen portaalin pahaenteiseen maailmaan,Summons a one-way portal to a sinister realm,,,,
action_static_to_sand,Ground hiekkaa,Ground to sand,,,,
actiondesc_static_to_sand,"Tekee kaikki kovat, kiinteitä aineita sisällä ammuksen valikoima muuttuu hiekkaan","Makes any hard, solid materials within a projectile's range turn into sand",,,,
action_gravity_field_enemy,Henkilökohtainen painovoimakentän,Personal gravity field,,,,
actiondesc_gravity_field_enemy,"Tekee olentoja osui ammus saada tilapäistä painovoima hyvin, että imee ammusten",Makes creatures hit by a projectile gain a temporary gravity well that draws projectiles in,,,,
action_summon_hollow_egg,Summon ontto muna,Summon hollow egg,,,,
actiondesc_summon_hollow_egg,Haaste muuten tyhjään munan heittää loitsun kun halkeilua auki,Summons an otherwise empty egg that casts a spell upon cracking open,,,,
action_buckshot,kolmena kappaleena pultti,Triplicate bolt,,,,
actiondesc_buckshot,"Muodostuma kolmen pienen, nopeasti pultit","A formation of three small, fast bolts",,,,
action_lifetime,lisäys elinikä,Increase lifetime,,,,
actiondesc_lifetime,Käyttöikä pitenee loitsu,Increases the lifetime of a spell,,,,
action_mana_reduce,lisäys manaa,Increase mana,,,,
actiondesc_mana_reduce,Välittömästi lisää 30 manaa sauva,Immediately adds 30 mana to the wand,,,,
action_shortlived_shot,lyhytaikainen oikeinkirjoituksen,Shortlived spell,,,,
actiondesc_shortlived_shot,"Tekee ammuksen kestää vain hyvin lyhyen aikaa, mutta enemmän vahinkoa","Makes a projectile lasts only a very short amount of time, but deal more damage",,,,
action_wall_horizontal,kapillaarikatkon,Horizontal barrier,,,,
actiondesc_wall_horizontal,"Ohut, kapillaarikatkon että haitat kulkee olentoja, kuten sinä","A thin, horizontal barrier that harms passing creatures, including you",,,,
action_wall_vertical,pystysuora este,Vertical barrier,,,,
actiondesc_wall_vertical,"Ohut, pystysuora este, joka vahingoittaa kulkee olentoja, kuten sinä","A thin, vertical barrier that harms passing creatures, including you",,,,
action_wall_square,neliö este,Square barrier,,,,
actiondesc_wall_square,"Ohut, neliön muotoinen este, joka vahingoittaa kulkee olentoja, kuten sinä","A thin, square-shaped barrier that harms passing creatures, including you",,,,
action_purple_explosion_field,Glittering kenttä,Glittering field,,,,
actiondesc_purple_explosion_field,Pieni räjähdykset näkyvät satunnaisesti laajalle alueelle,Small explosions appear randomly over a large area,,,,
action_light_shot,light shot,Light shot,,,,
actiondesc_light_shot,"Tekee ammuksen liikkua huomattavasti nopeammin, mutta käsittelevät vähemmän vahinkoa","Makes a projectile move considerably faster, but deal less damage",,,,
action_commander_bullet,Commander pultti,Commander bolt,,,,
actiondesc_commander_bullet,Tahansa ammuksia ammuttiin rinnalla komento pultti houkuttelee sitä. Heittää 3 ylimääräistä loitsuja kun valettava,Any projectiles shot alongside the command bolt will be attracted to it. Casts 3 extra spells upon being cast,,,,
action_disc_bullet_big,Giga levy ammuksen,Giga disc projectile,,,,
actiondesc_disc_bullet_big,"Haaste on suuri, hammastettu levy utelias lennon malli","Summons a large, serrated disc with a curious flight pattern",,,,
action_bounce_explosion,räjähtävä pomppia,Explosive bounce,,,,
actiondesc_bounce_explosion,"Tekee ammuksen räjähtää, koska se pomppii",Makes a projectile explode as it bounces,,,,
action_rocket_downwards,Alaspäin pultti nippu,Downwards bolt bundle,,,,
